sentence,length,lang
Thou shalt not bear false witness against thy neighbour is one either the eighth or ninth the designation varies between religions of the Ten Commandments which are widely understood as moral imperatives by Jewish scholars Catholic scholars and PostReformation scholars,40,en
Today most cultures retain a distinction between lying in general which is discouraged under most but not all circumstances versus perjury which is always unlawful under criminal law and liable to punishment,32,en
Similarly historically in Jewish tradition a distinction was made between lying in general and bearing false witness perjury specifically,19,en
The book of Exodus describes the Ten Commandments as being spoken by God inscribed on two stone tablets by the finger of God broken by Moses and rewritten on replacement stones by the Lord,34,en
The command against false testimony is seen as a natural consequence of the command to “love your neighbor as yourself”,20,en
This moral prescription flows from the command for holy people to bear witness to their deity,16,en
Offenses against the truth express by word or deed a refusal to commit oneself to moral uprightness they are fundamental infidelities to God and in this sense they undermine the foundations of covenant with God,35,en
USS Boulder LST was a Newport class tank landing ship in service with the United States Navy from to,19,en
Kumbadjena kaata is a species of velvet worm in the Peripatopsidae family,12,en
The type locality is in Western Australia,7,en
Mado Hold for Pick Up French Mado poste restante Russian Мадо до востребования is a FrenchSoviet romantic drama directorial debut of Aleksandr Adabashyan,23,en
The film is based on the novel by Simone Arèse Mado,11,en
Perfumed gloves also referred to as sweet gloves are perfumed gloves often embroidered introduced to England from Spain and Venice,20,en
Stories describe them as a conveyance of poison for Jeanne dAlbret and Gabrielle dEstrees,14,en
Ernest Severn Johannesburg May – Thousand Oaks November was an American child screen actor,14,en
He was born Ernest Hubbard Smuts Severn son of Dr,10,en
Clifford Brill Severn and his South African wife Rachel Malherbe,10,en
His parents emigrated from South Africa to Los Angeles after he was born,13,en
He had seven siblings who were all child actors Venetia Severn Clifford Severn Yvonne Severn Raymond Severn Christopher Severn William Severn and Winston Severn,24,en
Ernest Severn and his brothers Raymond and Christopher all acted in the film The Man from Down Under,18,en
Anna Badegruber born January is an Austrian professional racing cyclist who rides for Vitalogic Astrokalb Radunion Nö,17,en
MetzTessy is a former commune in the HauteSavoie department in the AuvergneRhôneAlpes region in southeastern France,16,en
On January it was merged into the new commune of ÉpagnyMetzTessy,11,en
The World Junior Ice Hockey Championship Division I was played in two groups of six teams each,17,en
In each group the firstplaced team is promoted to a higher level while the lastplaced team is relegated to a lower level,22,en
Divisions I A and I B represent the second and the third tier of the IIHF World U Championship,19,en
To be eligible as a junior a player cannot be born earlier than,13,en
Lyons Township is a civil township of Ionia County in the U,12,en
The population was at the census,6,en
The village of Lyons is mostly within the township,9,en
The villages of Muir and Pewamo are also within the township,11,en
Trachysomus apipunga is a species of beetle in the family Cerambycidae,11,en
It was described by Martins and Galileo in,8,en
It is known from Bolivia,5,en
Bridgehampton Race Circuit was a race track located near Sag Harbor New York United States,15,en
The circuit opened in following a series of road races held from until,13,en
It was one of the first permanent road racing venues in the United States opening after Thompson Speedway two years after Road America the year after Watkins Glen International and the same year as Lime Rock Park and Laguna Seca Raceway,41,en
In its early years Bridgehampton was host to major international series including the World Sportscar Championship CanAm and NASCAR Grand National,21,en
By the early s the track was used mostly for amateur events,12,en
From its opening day to the mid s the AMA Championship Cup Series in the s hosted events twice a month and was a favorite to many motorcycle road racers,30,en
The track closed permanently in,5,en
Bridgehampton was renowned as a fearsome course requiring the utmost of driver skill,13,en
HD b is a gas giant exoplanet located approximately lightyears away in the constellation Ophiuchus orbiting the star HD,19,en
This planet was discovered in April,6,en
solar mass and the planet is at least the mass of Jupiter orbiting about half the distance of Jupiter from the Sun,22,en
The mass value is only minimum since the inclination is unknown,11,en
The orbital distance is more than twice the distance from Earth to the Sun although taking over three Earth years to orbit the star,24,en
The combined distance and period would make orbital velocity of,10,en
kms slower than Earths,4,en
The sjøfløyte Norwegian sea flute or kjøpefløyte byfløyte is a Norwegian variant of the recorder,15,en
This instrument first came to Norway by sea thus its name from Continental Europe in the th and th centuries and was extensively copied largely from Germanmade instruments,28,en
The name sea flute is most common in Numedal Telemark and Agder,12,en
On the west coast they are called German flute for its nation of origin,14,en
In Gudbrandsdalen where it is found many numbers flutes it is often called the wooden flute,16,en
Egil Storbekken created his flute based on one found in Gudbrandsdalen,11,en
As a result of the pietistic movement in Norway during the last half of the th century the popular Hardanger fiddle was declared sinful and many musicians began playing dance tunes on the flute instead,35,en
The sjøfløyte tradition began to die out in the th century but was revived in the s by musicians such as Per Midtstigen Steinar Ofsdal Tellef Kvifte and Ånon Egeland,30,en
Midtstigen and Ofsdal won the Grammy Award for their album Sjøfløyte,11,en
Among the former are important sjøfløyte players Knut Juveli and Herleik Stuvstad and sjøfløyte maker Nils Stuvstad,17,en
Rudolf Tomášek born August is a retired pole vaulter who represented Czechoslovakia,12,en
He was born in Karlovy Vary and represented the clubs RH Praha,12,en
He finished eighth at the Olympic Games won the silver medal at the European Championships finished sixth at the Olympic Games and won the silver medal at the European Indoor Games and finished ninth at the European Indoor Games,39,en
He became Czechoslovak champion in and and Czechoslovak indoor champion in,11,en
His personal best jump was,5,en
metres achieved indoor in,4,en
Open Siddur Project Hebrew פרויקט הסידור הפתוח‎ IPA pʁojeqt hassidduʁ hapatuaħ is an opensource webtoprint publishing and digital humanities project intent on sharing the semantic data of Jewish liturgy and liturgyrelated work with freeculture compatible copyright licenses and Public Domain dedications,41,en
The project collaborates with other efforts in opensource Judaism in sharing content and code advocates among related usergenerated content projects to adopt Open Content licensing and solicits copyright owners of related liturgical materials to share their work under freeculture compatible terms,41,en
ValdOr SaintPierre Water Aerodrome TC LID CSP is located on the Thompson River,13,en
mi west of ValdOr Quebec Canada,6,en
Silvina Montrul is a linguist specializing in generative approaches to second language acquisition,13,en
She is currently Professor of Linguistics and Spanish Italian and Portuguese as well as Second Language Acquisition at the University of Illinois at Urbana–Champaign,24,en
Montrul received her PhD from McGill University in under the supervision of Lydia White,14,en
Montruls research has focused on adult second language acquisition of syntax and morphology,13,en
She has published books on incomplete acquisition of language and heritage speakers as well as the acquisition of Spanish,19,en
She has been named University Scholar for University of Illinois in and is cochief editor of the journal Second Language Research,21,en
Kings Head Mill or Caldbec Hill Mill is a grade II listed smock mill at Battle Sussex England which has been converted to residential accommodation,25,en
Inquilinus limosus is a bacterium first isolated from cystic fibrosis patients lungs and is rarely observed elsewhere prompting extensive research into its biology,23,en
Lord Marcus Talbot de la Poer Beresford KCVO December – December was an equerry and racing manager,17,en
The son of the th Marquess of Waterford he ran the stables of Albert Edward Prince of Wales from,19,en
On the Prince´s accession as King Edward VII in Beresford was appointed an Extra Equerry and Manager of His Majesty´s Thoroughbred Stud serving until the King´s death in,28,en
The new King George V similarly appointed him in charge of his stables from until his own death in,19,en
On August Beresford married Louisa Catherine Ridley daughter of MajorGeneral Charles William Ridley,13,en
ChesterleStreet is a town in County Durham England,8,en
Its history goes back to the building of a Roman fort called Concangis,13,en
This Roman fort is the Chester from the Latin castra of the towns name the Street refers to the paved Roman road that ran north–south through the town and which is now called Front Street,35,en
ChesterleStreet is located miles km south of Newcastle upon Tyne and miles km west of Sunderland on the River Wear,20,en
A market town the town holds markets Tuesdays Fridays and Saturdays,11,en
Until the town had its own local government district,9,en
This was formed by the amalgamation in of the former ChesterleStreet Urban and Rural Districts,15,en
It was abolished in when Durham became a unitary authority as part of the structural changes to local government in England a move that was controversial at the time,29,en
The Gouden Griffel Golden Stylus is an award given to authors of childrens or teenagers literature in the Netherlands,19,en
Since it is awarded each year during the Dutch Childrens Books Week by the Stichting Collectieve Propaganda van het Nederlandse Boek Dutch Book Promotion Society for the best childrens books written in the past year,35,en
Between and one book per year was declared the childrens book of the year,14,en
Since then griffels are awarded in several categories,8,en
Only novels written in Dutch are eligible for the gouden griffel,11,en
However the runnerup awards Silver griffels can also be given to translated works,13,en
Aside from these the Gouden Penseel golden paintbrush is awarded to the best illustrated childrens books with silver penseel as a runnerup and since the Gouden Zoen golden kiss with silver as a runnerup is awarded to the best books for teenagers,42,en
There is no award for as the award was then no longer named for the year of production of the book but the year of the ceremony i,28,en
Between and two awards were given one for books for readers of ten years or less and one for older readers,21,en
Until one or two awards were given but without age categories,11,en
Since only one Gouden Griffel per year is awarded,9,en
No awards were given in,5,en
Since the Griffel is specifically for books for ages – and a new prize the Gouden Lijst was instated for books for ages –,24,en
The inaugural winner was Rindert Kromhout for Soldaten huilen niet Soldiers dont cry there was also a Gouden Lijst for a translated boek Mal Peets Tamar,26,en
The Toyota Classic was a womens tennis tournament played on outdoor grass courts at Kooyong in Melbourne in Australia,19,en
The event was part of the AA category of the Colgate Series,12,en
It was the th edition of the tournament and was held from November through November,15,en
Eighthseeded Evonne Goolagong Cawley won the singles title and earned firstprize money and ranking points,15,en
A pusher 押し屋 oshiya is a worker who pushes people onto the train at a railway station during the morning and evening rush hours,24,en
Backyard is a song by American recording artist Pebbles featuring a guest rap by SaltNPepa,15,en
Taken from Pebbles second album Always the song was released as the third single from the album on March,19,en
The NCAA Division I Womens Tennis Championships were the seventh annual championships to determine the national champions of NCAA Division I womens singles doubles and team collegiate tennis in the United States,32,en
Stanford defeated Florida – to win their third consecutive and fifth overall national title,14,en
Lais Oliveira Navarro born August better known as Lais Oliveira is a Brazilian model best known for walking the Victorias Secret Fashion Show and being exclusive for the Louis Vuitton,30,en
The Days of Brumalia was an internet event presented by The Residents and Residents,14,en
com that resulted in an album of the same name,10,en
For days starting on December a new song was posted on Residents,12,en
com web site along with an illustration and a quote,10,en
On the th day The Residents presented the epic musical work The Feast of Epiphany,15,en
Homer Flynn of The Cryptic Corp has stated The Brumalia songs were a present for those who visited the site every day,22,en
It is not for those who didnt,7,en
It is not a gift for the world,8,en
Think about it the Brumalia songs would still be on residents,11,en
com if we wished to have them shared,8,en
They should not be archived and shared,7,en
Ralph America collected the audio track for a CD release in the summer of,14,en
Days of Brumalia was reissued in November as a compilation with Prelude to The Teds,15,en
Live at KEXP Vol,4,en
is the th installment in the Live at KEXP cd series,11,en
Live KEXP Volume was lovingly compiled from the best of our more than live instudio performances hosted by KEXP in this CD is more than just a record—it’s an archive of oneofakind exclusive live tracks from some of this year’s greatest artists some well known othersjust being discovered,48,en
Artists include DeVotchka The Hold Steady Andrew Bird MGMT Of Montreal Nick Cave The Bad Seeds Vivian Girls and many more,21,en
All the bands on this compilation have donated their performances to support KEXP a listenerpowered nonprofit listenersupported public radio station based in Seattle Washington,24,en
